ID: 145, First Name: Carley, Last Name: Gracie, Nick Name: , Team: G13
ID: 146, First Name: Carlos, Last Name: Elias, Nick Name: , Team: 
ID: 147, First Name: Carlos, Last Name: Gracie Senior, Nick Name: Caique, Team: 
ID: 148, First Name: Carlos, Last Name: Gracie Junior, Nick Name: , Team: Gracie JJ
ID: 149, First Name: Carlos, Last Name: Henrique, Nick Name: Carlinhos, Team: 
ID: 150, First Name: Carlos, Last Name: Henrique Campos, Nick Name: , Team: Brazil 021
ID: 151, First Name: Carlos, Last Name: Lemos Jr, Nick Name: CH7, Team: Dream Art
ID: 152, First Name: Carlos, Last Name: Machado, Nick Name: Escorrega, Team: Gracie Barra
ID: 153, First Name: Carlos, Last Name: Melo, Nick Name: , Team: Machado JJ
ID: 154, First Name: Carlos, Last Name: Vieira, Nick Name: , Team: CTA
ID: 155, First Name: Carlos, Last Name: Vieira Holanda, Nick Name: Portugues, Team: Cia Paulista
ID: 156, First Name: Catriel, Last Name: Oliveira, Nick Name: Esquisito, Team: Checkmat
ID: 157, First Name: Carlson, Last Name: Gracie, Nick Name: , Team: GF Team
ID: 158, First Name: Caroline, Last Name: Lazzer, Nick Name: , Team: Carlson Gracie
ID: 159, First Name: Cassio, Last Name: Cardoso, Nick Name: , Team: Emirates Team
ID: 160, First Name: Cassio Felipe, Last Name: Costa, Nick Name: , Team: Carlson Gracie
ID: 161, First Name: Cassio, Last Name: Werneck, Nick Name: Laranjinha, Team: Six Blades
ID: 162, First Name: Catherine, Last Name: Perret, Nick Name: , Team: 
ID: 163, First Name: Cleber, Last Name: Luciano, Nick Name: , Team: Checkmat
ID: 164, First Name: Cleber, Last Name: Sousa, Nick Name: , Team: 
ID: 165, First Name: Celso, Last Name: Vinicius, Nick Name: Clandestino, Team: Almeida JJ
ID: 166, First Name: Cesar, Last Name: Gracie, Nick Name: Celsinho, Team: Ryan Gracie
ID: 167, First Name: Cezar, Last Name: Guimarães, Nick Name: , Team: Gracie Elite
ID: 168, First Name: Chad, Last Name: Hardy, Nick Name: Casquinha, Team: Top Brother
ID: 169, First Name: Charles, Last Name: Negromonte, Nick Name: , Team: Team Shawn Hammonds
ID: 170, First Name: Charles, Last Name: Oliveira, Nick Name: , Team: Gracie Barra
ID: 171, First Name: Charlotte, Last Name: Von Baumgarten, Nick Name: do Bronx, Team: Macaco Gold Team
ID: 172, First Name: Chloe, Last Name: McNally, Nick Name: , Team: Mathias Ribeiro JJ
ID: 173, First Name: Christian, Last Name: Graugart, Nick Name: , Team: Unity JJ
